SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,LMB
215,MODEL1,PARMS,LMB,1.218602774,15.87732237,0.533598324,-1.182335785,3.8993316,-0.583268937,3.394320318,-7.809170967,-1
216,MODEL1,PARMS,LMB,1.231255538,3.566745328,0.526667298,-1.262622374,4.812498649,0.239776565,0.276189753,-0.789251865,-1
217,MODEL1,PARMS,LMB,1.068476569,11.1323422,0.389655883,-0.674035767,1.824394787,-0.225395158,2.14899054,-4.898587872,-1
218,MODEL1,PARMS,LMB,1.262428622,10.27330999,0.15925544,-0.673603059,3.039969236,-0.073393604,0.451137947,-1.106254924,-1
219,MODEL1,PARMS,LMB,1.225844296,5.869582148,0.570660634,-1.367602161,5.373803029,0.063117358,1.13183616,-2.258332147,-1
220,MODEL1,PARMS,LMB,1.180340499,9.150758757,0.350589038,-0.995498901,3.747913753,-0.080951305,2.146924273,-5.241231101,-1
221,MODEL1,PARMS,LMB,1.241354663,9.504505669,0.270174871,-0.894042898,4.066083185,-0.065145796,-0.139387358,1.162849927,-1
222,MODEL1,PARMS,LMB,1.192824686,10.54931956,0.251695869,-0.849443901,3.151905787,-0.109324215,0.767107867,-1.620042742,-1
223,MODEL1,PARMS,LMB,1.159245726,7.416204471,0.413740016,-1.04859666,3.550195934,0.025007765,0.248742604,0.228658468,-1
224,MODEL1,PARMS,LMB,1.144795189,-5.459839233,0.246348494,-0.623190177,2.924936986,0.907446619,-0.773411878,0.479440577,-1
225,MODEL1,PARMS,LMB,1.412499039,0.011901046,0.151347487,-0.387482793,0.741395954,0.617689661,-2.439474979,5.689509181,-1
226,MODEL1,PARMS,LMB,1.151689495,8.733623897,0.124953199,-0.238534605,0.74702483,0.02673523,0.371488458,-0.701791762,-1
227,MODEL1,PARMS,LMB,1.166210672,10.28846741,0.260531153,-0.586566335,2.149970692,-0.134241217,2.379356158,-6.355253214,-1
228,MODEL1,PARMS,LMB,1.190452247,1.344569556,0.314576097,-0.803767098,2.503913424,0.449033945,0.250065463,-1.65606619,-1
229,MODEL1,PARMS,LMB,1.322805746,1.350529059,0.096594802,-0.220757717,0.980983208,0.513152971,-0.462919499,0.537304509,-1
230,MODEL1,PARMS,LMB,1.205899904,6.37542784,0.196185149,-0.413319181,1.61241262,0.146670772,1.068886785,-3.101178446,-1
231,MODEL1,PARMS,LMB,1.142098052,1.94467411,0.205254983,-0.476103283,2.047594391,0.455504307,-0.545068018,0.836652563,-1
232,MODEL1,PARMS,LMB,1.208900086,4.171921711,0.150303664,0.142050893,-1.272259563,0.299169957,-0.479844996,1.473338023,-1
233,MODEL1,PARMS,LMB,1.172120323,14.91080503,0.21409313,-0.446325223,2.09720451,-0.426038993,2.71556349,-6.538795941,-1
234,MODEL1,PARMS,LMB,1.233036317,6.215215233,0.371609463,-0.770291999,2.998243556,0.10433139,0.382135352,-0.654117232,-1
235,MODEL1,PARMS,LMB,1.154731955,2.465431969,0.364047156,-0.957270941,3.049639835,0.391058359,-1.80500122,4.35746765,-1
236,MODEL1,PARMS,LMB,1.150035102,4.622397332,0.218175391,-0.311364877,1.643792089,0.246716949,0.707854083,-2.3088228,-1
237,MODEL1,PARMS,LMB,1.367082323,7.819954178,0.155966447,-0.332304555,0.781496401,0.085835323,-0.722678076,1.732122223,-1
238,MODEL1,PARMS,LMB,1.105105458,5.113083826,-0.020057306,0.137557261,-0.694008115,0.302611962,0.565128633,-1.617857005,-1
239,MODEL1,PARMS,LMB,1.095659366,7.029325742,0.288858637,-0.720142555,2.492405975,0.082534257,1.264152284,-3.608888828,-1
