SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_ageyr1,AGEYR1,AGEYR2,ers_htcm1,HTCM1,HTCM2,RMB
90,MODEL1,PARMS,RMB,1.469211896,-10.11209785,0.311418553,-1.239399665,5.402327343,1.360397435,-2.821442499,5.351165536,-1
91,MODEL1,PARMS,RMB,1.578777498,-18.02288193,0.026197543,0.387865169,-1.671619544,1.900612794,-4.710224615,10.06789345,-1
92,MODEL1,PARMS,RMB,1.565229518,-7.051493162,0.546836675,-1.657201822,5.256912627,1.130801449,-2.472875702,5.228289232,-1
93,MODEL1,PARMS,RMB,1.506070771,13.01305052,0.529807489,-2.088952969,7.803498797,-0.083257932,1.459113279,-2.958774271,-1
94,MODEL1,PARMS,RMB,1.672421948,7.345948409,0.076357021,-0.144617949,0.194227924,0.373598905,-0.601288502,2.27107981,-1
95,MODEL1,PARMS,RMB,1.562235496,3.169657597,0.16650441,-0.438222117,-0.173460595,0.633816779,-3.003674844,7.798285039,-1
96,MODEL1,PARMS,RMB,1.792883698,-12.65845108,0.285743958,-1.225005455,4.899753664,1.512324712,-1.053765137,-0.208399902,-1
97,MODEL1,PARMS,RMB,1.732990021,9.173169707,0.312182245,-1.131720982,4.400696978,0.200393524,0.744162842,-1.543019578,-1
98,MODEL1,PARMS,RMB,1.55700359,-9.958387389,0.580090825,-1.36425256,4.86943641,1.278416044,-2.642414758,5.838625594,-1
99,MODEL1,PARMS,RMB,1.474876076,-6.113587388,0.133871037,-0.539557778,2.013030963,1.193270586,-4.141358519,9.050361186,-1
100,MODEL1,PARMS,RMB,1.430119402,3.89359355,0.126008753,-0.872756704,3.472124606,0.595816554,-2.492589633,5.965829451,-1
101,MODEL1,PARMS,RMB,1.525516639,-13.90633557,0.083379879,-0.430684904,1.794182734,1.648935321,-3.778927704,8.07134832,-1
102,MODEL1,PARMS,RMB,1.574708943,20.59267346,-0.098848187,0.305750142,-2.381958597,-0.388254284,1.875737491,-2.846275702,-1
103,MODEL1,PARMS,RMB,1.647537739,-7.106506064,0.678641872,-2.351854975,8.66461132,1.108508946,-2.704641009,5.536105581,-1
104,MODEL1,PARMS,RMB,1.575145308,-12.26835011,0.690437583,-2.454763508,9.687571141,1.394214431,-2.921294177,7.08940237,-1
105,MODEL1,PARMS,RMB,1.46450331,5.167233671,0.027743295,-0.432726993,2.271044926,0.502580864,-0.305632768,1.12108382,-1
106,MODEL1,PARMS,RMB,1.378445017,3.37523172,-0.11957825,0.492350363,-2.509344391,0.64441608,-1.008685825,2.430757346,-1
107,MODEL1,PARMS,RMB,1.495576256,-2.436224163,0.164389079,-0.912952474,3.269620061,0.973784973,-3.519715204,8.266462509,-1
108,MODEL1,PARMS,RMB,1.529747738,5.558072061,0.197596955,-1.191463163,4.298608634,0.490094018,-1.406156081,3.198828658,-1
109,MODEL1,PARMS,RMB,1.560242393,-14.75563627,0.222988503,-0.533521697,1.666248401,1.648283328,-3.087477301,5.723154301,-1
110,MODEL1,PARMS,RMB,1.526559424,-12.86994228,0.198308787,-0.822239569,3.701729759,1.55841028,-4.973809955,11.4908871,-1
111,MODEL1,PARMS,RMB,1.45663505,-0.06920163,0.208818229,-0.575304459,1.185436535,0.759771087,0.270172926,-1.28675034,-1
112,MODEL1,PARMS,RMB,1.57654626,17.60333221,0.07802666,-0.645620466,2.50710023,-0.238543671,2.280367383,-5.028857722,-1
113,MODEL1,PARMS,RMB,1.654853821,-7.097825931,0.230785059,-1.162077799,4.599105395,1.192739789,-1.44595012,2.69242315,-1
114,MODEL1,PARMS,RMB,1.686991663,-15.58272374,0.084964331,-0.630138961,2.759436653,1.759867148,-4.127404094,8.377564425,-1
115,MODEL1,PARMS,RMB,1.647533683,-17.33648125,0.01957841,0.044931944,-1.398523897,1.859992374,-4.768517189,10.64494345,-1
116,MODEL1,PARMS,RMB,1.609080358,-10.03797192,0.602416147,-1.528402607,5.234545498,1.256534165,-1.598191582,2.906350637,-1
117,MODEL1,PARMS,RMB,1.678979376,-4.650265284,0.617466275,-1.444389064,3.56388013,0.930026696,0.109095644,-2.050993116,-1
118,MODEL1,PARMS,RMB,1.407012103,-16.81215353,0.002244961,-0.247502386,0.393344227,1.862060746,-4.772830382,9.696359789,-1
119,MODEL1,PARMS,RMB,1.439112423,-3.13357337,0.139224667,-0.914449043,3.516366338,0.996893986,-1.908327358,4.473544488,-1
120,MODEL1,PARMS,RMB,1.510543721,-9.600607002,0.582324289,-2.138812305,8.112450919,1.280377707,-3.107144145,6.873451509,-1
121,MODEL1,PARMS,RMB,1.58191642,-2.26136973,0.136522407,-0.528743194,2.621681856,0.928456431,-3.052241257,7.968698344,-1
122,MODEL1,PARMS,RMB,1.525827382,20.92984366,0.049065253,-0.786467904,3.441658493,-0.439688411,2.770128005,-6.160026544,-1
123,MODEL1,PARMS,RMB,1.720369049,-7.405627233,0.073614066,-1.04628327,4.885435163,1.308907467,-5.161157665,12.79044188,-1
124,MODEL1,PARMS,RMB,1.703946767,-1.457310684,0.206462396,-1.217965625,4.644482351,0.888272663,-1.719461724,3.697421504,-1
125,MODEL1,PARMS,RMB,1.410355211,14.17073523,0.160192509,-0.708360331,2.134904965,-0.068156123,0.497771501,-0.068395525,-1
126,MODEL1,PARMS,RMB,1.605744774,-0.97911476,0.426258381,-1.138067222,2.557250336,0.775771996,-0.276661941,0.599427574,-1
127,MODEL1,PARMS,RMB,1.51289227,-4.183725931,0.155237246,-0.585368893,1.887677064,1.062894071,-2.536248618,5.301206176,-1
128,MODEL1,PARMS,RMB,1.497462411,16.21369312,0.186572676,-0.667330534,1.704613361,-0.203131391,3.117626236,-7.132357903,-1
129,MODEL1,PARMS,RMB,1.646498999,14.21779315,-0.002367657,-0.116050687,0.582707065,-0.028227419,1.120533872,-2.439654345,-1
130,MODEL1,PARMS,RMB,1.515997698,3.998269054,0.154917121,-1.232090123,5.432139312,0.587111919,-1.846225882,3.814548938,-1
