SampleID,_MODEL_,_TYPE_,_DEPVAR_,_RMSE_,Intercept,ers_tot,ers_tot1,ers_tot2,sLB10
146,MODEL1,PARMS,sLB10,0.9433642,2.472595676,0.273742241,-0.386556362,0.523769205,-1
147,MODEL1,PARMS,sLB10,0.959490279,0.775336899,0.748416159,-2.142941366,3.392764641,-1
148,MODEL1,PARMS,sLB10,0.921579143,1.663228049,0.452981511,-0.931240926,1.307062064,-1
149,MODEL1,PARMS,sLB10,0.951449871,2.085467442,0.362749781,-0.708495859,1.085527315,-1
150,MODEL1,PARMS,sLB10,0.938424959,1.926280316,0.389779322,-0.814399855,1.107420272,-1
151,MODEL1,PARMS,sLB10,0.969030765,2.109518063,0.310211425,-0.259513449,0.202821192,-1
152,MODEL1,PARMS,sLB10,0.962911765,1.243803663,0.569286273,-1.448092496,2.204484253,-1
153,MODEL1,PARMS,sLB10,0.920671323,2.750449135,0.151320294,0.087621885,-0.21972155,-1
154,MODEL1,PARMS,sLB10,1.018685351,2.108126664,0.352873119,-0.642098972,0.940266655,-1
155,MODEL1,PARMS,sLB10,0.918102492,2.194118566,0.317706468,-0.000102048,-0.417887201,-1
156,MODEL1,PARMS,sLB10,0.959395216,1.518019818,0.539711371,-1.606815261,2.602513455,-1
157,MODEL1,PARMS,sLB10,0.945254245,1.643226766,0.436917419,-0.486497706,0.541761958,-1
158,MODEL1,PARMS,sLB10,0.895560481,2.35598181,0.285149218,-0.323860165,0.263680781,-1
159,MODEL1,PARMS,sLB10,0.883451097,2.147761004,0.337406808,-0.948752835,1.673491797,-1
160,MODEL1,PARMS,sLB10,0.930610492,1.426434552,0.539623983,-1.712716142,2.83145488,-1
